iter	Passed	Remaining
585	1231	869
586	1232	866
587	1232	863
588	1233	860
589	1234	857
590	1235	854
591	1236	851
592	1237	849
593	1237	846
594	1238	843
595	1239	840
596	1240	837
597	1241	834
598	1241	831
599	1242	828
600	1243	825
601	1245	823
602	1246	820
603	1247	817
604	1248	815
605	1249	812
606	1250	809
607	1251	806
608	1252	804
609	1253	801
610	1253	798
611	1254	795
612	1255	792
613	1256	789
614	1257	787
615	1258	784
616	1260	782
617	1261	779
618	1261	776
619	1262	773
620	1263	771
621	1264	768
622	1265	765
623	1266	762
624	1267	760
625	1267	757
626	1268	754
627	1269	752
628	1270	749
629	1271	746
630	1271	743
631	1272	741
632	1273	738
633	1275	736
634	1276	733
635	1277	731
636	1278	728
637	1279	725
638	1280	723
639	1280	720
640	1281	717
641	1282	715
642	1283	712
643	1284	709
644	1285	707
645	1285	704
646	1286	702
647	1287	699
648	1288	696
649	1290	694
650	1291	692
651	1291	689
652	1292	687
653	1293	684
654	1294	681
655	1295	679
656	1296	676
657	1297	674
658	1297	671
659	1298	669
660	1299	666
661	1300	663
662	1301	661
663	1301	658
664	1302	656
665	1304	654
666	1305	651
667	1306	649
668	1307	646
669	1308	644
670	1308	641
671	1309	639
672	1310	636
673	1311	634
674	1312	631
675	1313	629
676	1313	626
677	1314	624
678	1315	621
679	1316	619
680	1317	617
681	1318	614
682	1319	612
683	1320	610
684	1321	607
685	1322	605
686	1323	602
687	1324	600
688	1324	598
689	1325	595
690	1326	593
691	1327	590
692	1328	588
693	1328	585
694	1329	583
695	1330	581
696	1331	578
697	1332	576
698	1334	574
699	1335	572
700	1336	570
701	1337	567
702	1338	565
703	1340	563
704	1340	561
705	1341	558
706	1342	556
707	1343	554
708	1344	551
709	1345	549
710	1345	547
711	1346	544
712	1347	542
713	1349	540
714	1350	538
715	1350	535
716	1351	533
717	1352	531
718	1353	528
719	1354	526
720	1355	524
721	1355	522
722	1356	519
723	1357	517
724	1358	515
725	1359	512
726	1359	510
727	1360	508
728	1361	506
729	1362	503
730	1364	501
731	1364	499
732	1365	497
733	1366	495
734	1367	493
735	1368	490
736	1369	488
737	1370	486
738	1371	484
739	1371	482
740	1372	479
741	1373	477
742	1374	475
743	1375	473
744	1375	470
745	1376	468
746	1378	466
747	1379	464
748	1380	462
749	1381	460
750	1382	458
751	1383	456
752	1383	453
753	1384	451
754	1385	449
755	1386	447
756	1387	445
757	1388	443
758	1389	441
759	1389	438
760	1390	436
761	1391	434
762	1393	432
763	1394	430
764	1395	428
765	1396	426
766	1396	424
767	1397	422
768	1398	420
769	1399	417
770	1400	415
771	1400	413
772	1401	411
773	1402	409
774	1403	407
775	1404	405
776	1405	403
777	1405	401
778	1406	399
779	1408	397
780	1409	395
781	1410	393
782	1411	391
783	1412	389
784	1413	387
785	1414	384
786	1414	382
787	1415	380
788	1416	378
789	1417	376
790	1418	374
791	1418	372
792	1419	370
793	1420	368
794	1421	366
795	1423	364
796	1424	362
797	1425	360
798	1426	358
799	1427	356
800	1428	354
801	1428	352
802	1429	350
803	1430	348
804	1431	346
805	1432	344
806	1432	342
807	1433	340
808	1434	338
809	1435	336
810	1436	334
811	1438	332
812	1439	331
813	1440	329
814	1441	327
815	1442	325
816	1443	323
817	1444	321
818	1445	319
819	1446	317
820	1446	315
821	1447	313
822	1448	311
823	1449	309
824	1450	307
825	1450	305
826	1452	303
827	1453	301
828	1454	300
829	1455	298
830	1456	296
831	1457	294
832	1458	292
833	1458	290
834	1459	288
835	1460	286
836	1461	284
837	1462	282
838	1463	280
839	1463	278
840	1464	276
841	1465	274
842	1466	273
843	1468	271
844	1468	269
845	1469	267
846	1470	265
847	1471	263
848	1472	261
849	1473	259
850	1474	258
851	1474	256
852	1475	254
853	1476	252
854	1477	250
855	1478	248
856	1479	246
857	1479	244
858	1480	243
859	1482	241
860	1483	239
861	1484	237
862	1485	235
863	1486	233
864	1486	232
865	1487	230
866	1488	228
867	1489	226
868	1490	224
869	1490	222
870	1491	220
871	1492	219
872	1493	217
873	1494	215
874	1495	213
875	1495	211
876	1497	210
877	1498	208
878	1499	206
879	1500	204
880	1501	202
881	1502	201
882	1503	199
883	1504	197
884	1504	195
885	1505	193
886	1506	191
887	1507	190
888	1508	188
889	1509	186
890	1509	184
891	1510	182
892	1512	181
893	1514	179
894	1514	177
895	1515	175
896	1516	174
897	1517	172
898	1518	170
899	1518	168
900	1519	166
901	1520	165
902	1521	163
903	1522	161
904	1522	159
905	1523	158
906	1524	156
907	1525	154
908	1526	152
909	1528	151
910	1529	149
911	1530	147
912	1531	145
913	1532	144
914	1533	142
915	1534	140
916	1534	138
917	1535	137
918	1536	135
919	1537	133
920	1538	131
921	1538	130
922	1539	128
923	1540	126
924	1542	125
925	1543	123
926	1544	121
927	1545	119
928	1545	118
929	1546	116
930	1547	114
931	1548	112
932	1549	111
933	1550	109
934	1550	107
935	1551	106
936	1552	104
937	1553	102
938	1554	100
939	1554	99
940	1555	97
941	1557	95
942	1558	94
943	1559	92
944	1560	90
945	1561	89
946	1561	87
947	1562	85
948	1563	84
949	1564	82
950	1565	80
951	1565	78
952	1566	77
953	1567	75
954	1568	73
955	1569	72
956	1570	70
957	1571	68
958	1572	67
959	1573	65
960	1574	63
961	1575	62
962	1576	60
963	1577	58
964	1577	57
965	1578	55
966	1579	53
967	1580	52
968	1581	50
969	1581	48
970	1582	47
971	1583	45
972	1584	43
973	1585	42
974	1587	40
975	1588	39
976	1588	37
977	1589	35
978	1590	34
979	1591	32
980	1592	30
981	1593	29
982	1593	27
983	1594	25
984	1595	24
985	1596	22
986	1597	21
987	1597	19
988	1598	17
989	1599	16
990	1601	14
991	1602	12
992	1603	11
993	1603	9
994	1604	8
995	1605	6
996	1606	4
997	1607	3
998	1608	1
999	1608	0
